procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 0  0        63992      3015468        20628       768552    0    0     0 92889 2478 1638   1   1  98   0   0 2018-11-21 02:11:20
 0  0        63992      3015404        20628       768552    0    0     0 129749 3416 2222   1   1  98   0   0 2018-11-21 02:11:23
 0  0        63992      3015280        20636       768552    0    0     0 105732 3077 1924   1   1  98   0   0 2018-11-21 02:11:26
 0  0        63992      3015360        20644       768560    0    0     0 103044 2763 1820   1   1  98   0   0 2018-11-21 02:11:29
 0  0        63992      3015252        20644       768560    0    0     0 132279 3622 2319   1   2  97   0   0 2018-11-21 02:11:32
 1  0        63992      3015072        20652       768560    0    0     0 103629 3937 1741   1   2  98   0   0 2018-11-21 02:11:35
 0  0        63992      3015144        20652       768564    0    0     0 123179 3131 2073   1   1  98   0   0 2018-11-21 02:11:38
 0  0        63992      3015268        20660       768564    0    0     0 113291 2854 1903   1   1  98   0   0 2018-11-21 02:11:41
 0  0        63992      3015276        20660       768568    0    0     0 113323 2911 2010   1   1  98   0   0 2018-11-21 02:11:44
 0  0        63992      3015320        20668       768568    0    0     0 91240 2599 1682   1   1  98   0   0 2018-11-21 02:11:47
 0  0        63992      3015664        20668       768568    0    0     0 134997 3461 2396   1   1  98   0   0 2018-11-21 02:11:50
 0  0        63992      3015592        20676       768568    0    0     0 99801 2959 1812   1   1  98   0   0 2018-11-21 02:11:53
 0  0        63992      3015980        20676       768568    0    0     0 102741 2729 1720   1   1  98   0   0 2018-11-21 02:11:56
 0  0        63992      3016004        20684       768568    0    0     0 133380 3498 2339   1   1  98   0   0 2018-11-21 02:11:59
 0  0        63992      3015600        20684       768828    1    0    85 102613 2709 1860   1   2  97   0   0 2018-11-21 02:12:02
 0  0        63992      3015452        20692       768832    0    0     0 122989 4445 2200   1   1  98   0   0 2018-11-21 02:12:05
 0  0        63992      3015500        20692       768832    0    0     0 111659 2800 1902   1   1  98   0   0 2018-11-21 02:12:08
 0  0        63992      3015656        20700       768836    0    0     0 113975 3158 2079   1   1  98   0   0 2018-11-21 02:12:11
 0  0        63992      3015656        20700       768836    0    0     0 89899 2295 1641   1   1  98   0   0 2018-11-21 02:12:14
 0  0        63992      3015080        20708       768844    0    0     0 134063 3931 2275   1   1  98   0   0 2018-11-21 02:12:17
 0  0        63992      3014560        20708       768844    0    0     0 114279 3165 1999   1   1  98   0   0 2018-11-21 02:12:20
