seconds,utilization (KB),
4551,40431392,
4554,40503972,
4557,40572376,
4560,40717332,
4563,40712036,
4566,40775348,
4569,40828820,
4572,40879232,
4575,41147348,
4578,40992868,
4581,41047744,
4584,41094804,
4587,41361264,
4590,41069960,
4593,41123432,
4596,41183264,
4599,41248232,
4602,41409940,
4605,41252172,
4608,41302896,
4611,41354848,
4614,41411168,
4617,41659548,
4620,41540484,
4623,41591664,
4626,41654224,
4629,41707140,
4632,41925544,
4635,41803508,
4638,41856336,
4641,41913120,
4644,41961552,
4647,42200260,
4650,42042236,
4653,42088000,
4656,42135732,
4659,42401900,
4662,42150428,
4665,42198756,
4668,42258356,
4671,42322536,
4674,42459708,
4677,42399632,
4680,42450020,
4683,42493120,
4686,42535224,
4689,42605568,
4692,42581240,
4695,42632708,
4698,42688520,
4701,42735176,
4704,42821736,
4707,42778600,
4710,42835268,
4713,42900392,
4716,42949072,
4719,42917800,
4722,42981664,
4725,43034224,
4728,43094012,
4731,43354948,
4734,43106792,
4737,43157240,
4740,43222092,
4743,43302404,
4746,43384868,
4749,43339248,
4752,43389404,
4755,43446548,
4758,43507300,
4761,43776100,
4764,43529992,
4767,43589784,
4770,43646308,
4773,43824840,
4776,43666212,
4779,43721880,
4782,43796836,
4785,43862656,
4788,43909832,
4791,44196396,
4794,43899356,
4797,43968684,
4800,44031428,
4803,44102100,
4806,44373276,
4809,44184436,
4812,44232204,
4815,44296176,
4818,44361664,
4821,44524388,
4824,44379984,
4827,44443888,
4830,44512860,
4833,44757392,
4836,44566308,
4839,44627008,
4842,44680836,
4845,44745764,
4848,44985544,
4851,44727428,
4854,44775768,
4857,44818788,
4860,44874508,
4863,44939316,
4866,44990980,
4869,45054496,
4872,45113684,
4875,45126668,
4878,45181760,
4881,45238944,
4884,45298216,
4887,45467656,
4890,45371612,
4893,45414976,
4896,45468788,
4899,45533684,
4902,45583328,
4905,45580024,
4908,45641260,
4911,45711028,
4914,45781048,
4917,45835268,
4920,46079012,
4923,45841960,
4926,45910404,
4929,45996232,
4932,44085660,
4935,44085004,
4938,44084384,
4941,44083748,
4944,44095024,
4947,44104592,
4950,44193320,
4953,44237228,
4956,44297440,
4959,44303612,
4962,44303152,
4965,44301648,
4968,44300268,
4971,44299596,
4974,44298216,
4977,44290048,
4980,44304180,
4983,15457728,
4986,641376,
4989,1038356,
4992,1054304,
4995,1223348,
4998,1455636,
5001,1562928,
5004,1695936,
5007,1934332,
5010,2576800,
5013,2931936,
5016,3679972,
5019,3720908,
5022,4368076,
5025,5150144,
5028,5100480,
5031,5099964,
5034,6470572,
5037,6530000,
5040,6887832,
5043,6319944,
5046,7064804,
5049,7355972,
5052,7854124,
5055,7839372,
5058,8753108,
5061,9150140,
5064,9089552,
5067,9582008,
5070,9979868,
5073,9680152,
5076,9911900,
5079,10934436,
5082,11002804,
5085,11821004,
5088,11734564,
5091,12575920,
5094,13052388,
5097,13023596,
5100,13649412,
5103,12980060,
5106,13636920,
5109,13712432,
5112,14490036,
5115,14144140,
5118,14989712,
5121,15364524,
5124,15763368,
5127,16369344,
5130,17350244,
5133,17873348,
5136,18328484,
5139,19007492,
5142,19865300,
5145,19938636,
5148,20727360,
5151,19320472,
5154,19513140,
5157,19915816,
5160,19404468,
5163,19986412,
5166,20675948,
5169,21457924,
5172,22079984,
5175,22742776,
