procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  1        47372      3177540        26764       637832    0    0     0 297192 6605 4836   1   2  97   0   0 2019-03-21 16:17:34
 0  0        47372      3177648        26772       637836    0    0     0 290704 22531 4866   1   4  94   1   0 2019-03-21 16:17:37
 1  0        47372      3177740        26772       637840    0    0     0 293163 6003 4776   1   2  97   0   0 2019-03-21 16:17:40
 1  0        47372      3177716        26780       637840    0    0     0 293087 6230 4741   1   2  97   0   0 2019-03-21 16:17:43
 1  0        47372      3177960        26780       637840    0    0     0 292817 13325 4747   1   3  95   1   0 2019-03-21 16:17:46
 5  0        47372      3178012        26792       637840    0    0     0 296403 6670 5007   2   3  95   0   0 2019-03-21 16:17:49
 2  0        47372      3177780        26792       637848    0    0     0 296704 5954 4795   1   2  97   0   0 2019-03-21 16:17:52
 0  0        47372      3177656        26800       637848    0    0     0 292191 6059 4727   1   2  97   0   0 2019-03-21 16:17:55
 1  0        47372      3177804        26800       637816    0    0     0 295339 6076 4809   1   2  97   0   0 2019-03-21 16:17:58
 0  0        47372      3177848        26808       637816    0    0     0 293087 6155 4775   1   2  97   0   0 2019-03-21 16:18:01
 1  0        47372      3178060        26816       637816    0    0     0 293305 6147 4770   1   2  97   0   0 2019-03-21 16:18:04
 3  0        47372      3178052        26816       637828    0    0     0 292523 5984 4768   1   2  97   0   0 2019-03-21 16:18:07
 1  0        47372      3177328        26824       637828    0    0     0 294836 16842 4790   1   4  95   0   0 2019-03-21 16:18:10
 1  0        47372      3177408        26824       637816    0    0     0 289493 5914 4688   1   2  97   0   0 2019-03-21 16:18:13
 1  0        47372      3177476        26832       637816    0    0     0 294040 6141 4774   1   2  97   0   0 2019-03-21 16:18:16
 2  0        47372      3177244        26832       637820    0    0     0 290987 6673 4824   2   3  95   0   0 2019-03-21 16:18:19
 1  0        47372      3177908        26844       637820    0    0     0 293536 6155 4776   1   2  97   0   0 2019-03-21 16:18:22
 1  0        47372      3177956        26860       637824    0    0     0 294961 12833 10442   1   2  95   2   0 2019-03-21 16:18:25
 2  0        47372      3177956        26860       637824    0    0     0 296704 6005 4801   1   2  97   0   0 2019-03-21 16:18:28
 0  0        47372      3177468        26868       637828    0    0     0 294452 6929 5662   1   2  96   0   0 2019-03-21 16:18:31
 2  0        47372      3176788        26868       637828    0    0     0 291968 5952 4714   1   2  97   0   0 2019-03-21 16:18:34
 0  0        47372      3176760        26876       637828    0    0     0 293812 6026 4994   1   2  97   0   0 2019-03-21 16:18:37
 1  0        47372      3177352        26876       637832    0    0     0 290820 6007 4855   1   2  97   0   0 2019-03-21 16:18:40
 1  0        47372      3177312        26884       637832    0    0     0 296931 6285 5044   1   2  97   0   0 2019-03-21 16:18:43
 0  0        47372      3177384        26892       637824    0    0     0 293256 13507 11675   1   2  96   0   0 2019-03-21 16:18:46
 2  0        47372      3177888        26900       637828    0    0     0 291363 6561 5091   2   3  95   0   0 2019-03-21 16:18:49
 2  0        47372      3177884        26900       637828    0    0     0 297860 7596 6350   1   2  97   0   0 2019-03-21 16:18:52
 1  0        47372      3177856        26912       637832    0    0     0 299633 6482 5036   1   2  96   0   0 2019-03-21 16:18:55
 0  0        47372      3177944        26912       637836    0    0     0 292309 5884 4717   1   2  97   0   0 2019-03-21 16:18:58
 0  0        47372      3177884        26920       637836    0    0     0 292703 6175 4928   1   2  97   0   0 2019-03-21 16:19:01
 1  0        47372      3177356        26928       637836    0    0     0 293092 6286 4998   1   2  96   0   0 2019-03-21 16:19:04
 0  0        47372      3177436        26928       637832    0    0     0 295851 6036 4792   1   2  97   0   0 2019-03-21 16:19:07
 0  0        47372      3178072        26936       637836    0    0     0 290352 5949 4820   1   2  97   0   0 2019-03-21 16:19:10
 1  0        47372      3177584        26936       637840    0    0     0 294699 6247 4831   1   2  97   0   0 2019-03-21 16:19:13
 1  0        47372      3177692        26944       637840    0    0     0 291597 6095 4879   1   2  97   0   0 2019-03-21 16:19:16
 2  0        47372      3177852        26956       637844    0    0     0 297592 6558 5178   2   3  94   0   0 2019-03-21 16:19:19
 2  0        47372      3177772        26956       637844    0    0     0 292723 16996 15402   1   2  95   2   0 2019-03-21 16:19:22
 3  0        47372      3177656        26964       637844    0    0     0 294847 6904 5640   1   2  97   0   0 2019-03-21 16:19:25
 0  0        47372      3177252        26964       637852    0    0     0 293035 5963 4749   1   2  97   0   0 2019-03-21 16:19:28
 1  0        47372      3176780        26972       637852    0    0     0 298324 13038 11619   1   3  96   0   0 2019-03-21 16:19:31
 0  0        47372      3177044        26972       637852    0    0     0 277675 5799 4412   2   2  95   1   0 2019-03-21 16:19:34
