seconds,utilization (KB),
4356,38191544,
4359,38256668,
4362,38323840,
4365,38387248,
4368,38622644,
4371,38799668,
4374,38501504,
4377,38576632,
4380,38660876,
4383,38742808,
4386,39070340,
4389,38898132,
4392,38813776,
4395,38878756,
4398,38957300,
4401,39020472,
4404,39345040,
4407,39098532,
4410,39031296,
4413,39106236,
4416,39182984,
4419,39260936,
4422,39245824,
4425,39251420,
4428,39321704,
4431,39376144,
4434,39440592,
4437,39515000,
4440,39765452,
4443,39569028,
4446,39763944,
4449,39634748,
4452,39710444,
4455,39772072,
4458,40086296,
4461,40003232,
4464,39813100,
4467,39866368,
4470,39921980,
4473,40169136,
4476,39988300,
4479,40323672,
4482,40129476,
4485,40183196,
4488,40235896,
4491,40558532,
4494,40316736,
4497,40256432,
4500,40326736,
4503,40402244,
4506,40450132,
4509,40784084,
4512,40710852,
4515,40533204,
4518,40602440,
4521,40666260,
4524,40729728,
4527,40992960,
4530,40783808,
4533,40817696,
4536,40883900,
4539,40949608,
4542,41010460,
4545,41313828,
4548,41136272,
4551,41338380,
4554,41133608,
4557,41187648,
4560,41243420,
4563,41439840,
4566,41661060,
4569,41492548,
4572,41431780,
4575,41505588,
4578,41585480,
4581,41825436,
4584,42019040,
4587,41638520,
4590,41704372,
4593,41763308,
4596,41816748,
4599,41982752,
4602,42192584,
4605,42090328,
4608,41956032,
4611,42022512,
4614,42080148,
4617,42144324,
4620,42434812,
4623,42392800,
4626,42220916,
4629,42273352,
4632,42328656,
4635,42482236,
4638,42705848,
4641,42453428,
4644,42385160,
4647,42460508,
4650,42547192,
4653,42779372,
4656,42814488,
4659,42678228,
4662,42744696,
4665,42822568,
4668,42892660,
4671,43127904,
4674,43288804,
4677,42980184,
4680,42900752,
4683,42967992,
4686,43042700,
4689,43301484,
4692,43103084,
4695,43111340,
4698,43185364,
4701,43261300,
4704,43343612,
4707,43361148,
4710,43386576,
4713,43441592,
4716,43516608,
4719,43592032,
4722,43664852,
4725,43879692,
4728,43616616,
4731,43621724,
4734,43688616,
4737,43749764,
4740,43829480,
4743,44131236,
4746,43944268,
4749,44163988,
4752,44034292,
4755,44104912,
4758,44166528,
4761,44476368,
4764,44328268,
4767,44260940,
4770,44328064,
4773,44401720,
4776,44484408,
4779,44718352,
4782,44917752,
4785,44777036,
4788,44716892,
4791,44791872,
4794,44867548,
4797,45205584,
4800,44917276,
4803,44785584,
4806,44852916,
4809,44913520,
4812,44994088,
4815,45003428,
4818,45158860,
4821,45011480,
4824,45055984,
4827,45110524,
4830,45168520,
4833,45446932,
4836,45284824,
4839,45212156,
4842,45288112,
4845,45361508,
4848,45437828,
4851,45712164,
4854,45848388,
4857,45694948,
4860,45873364,
4863,45670396,
4866,45742112,
4869,46071204,
4872,45890924,
4875,45835236,
4878,45909472,
4881,44528284,
4884,44058256,
4887,44056928,
4890,44055620,
4893,44066332,
4896,44069512,
4899,44172840,
4902,44209076,
4905,44234932,
4908,44280104,
4911,44280652,
4914,44295460,
4917,44294116,
4920,44293356,
4923,44292604,
4926,44303028,
4929,44311900,
4932,43307792,
4935,7803096,
4938,603556,
4941,980728,
4944,1123984,
4947,1400024,
4950,1568688,
4953,1616348,
4956,1878556,
4959,1817760,
4962,2730196,
4965,2912084,
4968,3679584,
4971,3752728,
4974,3863268,
4977,4069332,
4980,4615116,
4983,5022392,
4986,5319560,
4989,4630364,
4992,4607516,
4995,5074052,
4998,5261272,
5001,5250948,
5004,6111944,
5007,6262312,
5010,6112916,
5013,6255096,
5016,6411704,
5019,6615124,
5022,6795188,
5025,6155840,
5028,6109544,
5031,6392292,
5034,6921828,
5037,7122148,
5040,7626204,
5043,7934736,
5046,8026796,
5049,8506140,
5052,8958192,
5055,9161760,
5058,9320216,
5061,9225136,
5064,9842628,
5067,9174604,
5070,9390048,
5073,9507388,
5076,9648040,
5079,9729952,
5082,10034192,
5085,10419980,
5088,10714184,
5091,10723432,
5094,10884148,
5097,9905964,
5100,10366188,
5103,11304148,
5106,11617116,
5109,11738508,
5112,11301144,
5115,11948616,
5118,12524668,
5121,12193760,
5124,12212004,
5127,12394932,
5130,12112080,
5133,12661400,
5136,13366248,
5139,13479000,
5142,13569252,
5145,13507360,
5148,13589944,
5151,13699344,
5154,13954472,
5157,14265380,
5160,15112536,
5163,15277548,
5166,15346140,
5169,16140804,
5172,15730608,
5175,15795976,
5178,16060752,
5181,16262244,
5184,16405332,
5187,16634112,
5190,16701584,
5193,16788980,
5196,16124972,
5199,16224956,
5202,16363980,
5205,16547516,
5208,15148048,
5211,15536572,
5214,16084260,
5217,16216056,
5220,16222068,
5223,16352328,
5226,16064876,
5229,16614476,
5232,17019444,
5235,17036588,
5238,17201980,
5241,17168968,
5244,17299316,
5247,17629112,
5250,17660036,
5253,17835796,
5256,17599420,
5259,17863092,
5262,18127128,
5265,18402732,
5268,18681764,
5271,19122400,
5274,19471960,
5277,19755440,
5280,19929764,
5283,20239112,
5286,20608624,
5289,20905536,
5292,21049464,
5295,21372344,
5298,21517652,
5301,21791308,
5304,21984528,
5307,22124584,
5310,22197964,
5313,22211848,
5316,22564832,
5319,22797040,
5322,20926936,
5325,20801684,
5328,20922040,
5331,21100784,
5334,21179900,
5337,21398236,
5340,21474872,
5343,21590412,
5346,21709904,
5349,21780680,
