procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0         9080      3055332        20868       734344    0    0     0 123733 3089 2106   1   1  98   0   0 2018-11-25 23:59:18
 0  0         9080      3055592        20876       734348    0    0     0 113596 3727 3080   1   1  98   0   0 2018-11-25 23:59:21
 0  0         9080      3055704        20876       734348    0    0     0 114944 2512 1978   1   1  98   0   0 2018-11-25 23:59:24
 0  0         9080      3056020        20884       734348    0    0     0 90636 2102 1686   1   1  98   0   0 2018-11-25 23:59:27
 0  0         9080      3055224        20884       734348    0    0     0 135296 2946 2328   1   1  98   0   0 2018-11-25 23:59:30
 0  0         9080      3055240        20892       734348    0    0     0 117209 2618 2072   1   1  98   0   0 2018-11-25 23:59:33
 0  0         9080      3054868        20892       734352    0    0     0 89321 4408 3919   1   1  98   0   0 2018-11-25 23:59:36
 0  0         9080      3054828        20900       734352    0    0     0 134363 2888 2326   1   1  98   0   0 2018-11-25 23:59:39
 0  0         9080      3054604        20900       734352    0    0     0 103936 2187 1727   1   1  98   0   0 2018-11-25 23:59:42
 0  0         9080      3055068        20908       734352    0    0     0 116697 3897 3349   1   1  98   0   0 2018-11-25 23:59:45
 0  0         9080      3055100        20908       734352    0    0     0 119595 2603 2031   1   1  98   0   0 2018-11-25 23:59:48
 0  0         9080      3054944        20916       734360    0    0     0 120205 2882 2254   1   1  98   0   0 2018-11-25 23:59:51
 0  0         9080      3055048        20916       734360    0    0     0 102528 2331 1791   1   1  98   0   0 2018-11-25 23:59:54
 0  0         9080      3055328        20924       734360    0    0     0 124219 2840 2231   1   1  98   0   0 2018-11-25 23:59:57
 0  0         9080      3054456        20924       735532    0    0   388 93568 2139 1653   1   1  98   0   0 2018-11-26 00:00:00
 0  1         9080      3053000        21240       736180    0    0   116 125623 126520 124822   1  10  85   4   0 2018-11-26 00:00:03
 1  1         9080      3052184        21520       736744    0    0    93 114944 140259 25130   1  18  67  15   0 2018-11-26 00:00:06
 1  1         9080      3051172        21816       737320    0    0    96 124859 141974 79202   1  14  74  11   0 2018-11-26 00:00:09
 4  0         9080      3049084        22328       738260    0    0    85 78123 147720 121304   1  12  83   4   0 2018-11-26 00:00:12
 1  0         9076      3047888        22752       739172    1    0    11 99972 38954 1831   1   6  93   0   0 2018-11-26 00:00:15
 0  0         9076      3047960        22752       739172    0    0     0 107776 2088 1745   1   1  98   0   0 2018-11-26 00:00:18
 0  0         9076      3048120        22760       739172    0    0     0 117213 2650 1966   1   1  98   0   0 2018-11-26 00:00:21
 0  0         9076      3048176        22760       739176    0    0     0 112341 2861 1974   1   1  99   0   0 2018-11-26 00:00:24
 0  0         9076      3047964        22768       739180    0    0     0 163012 4356 2781   1   2  97   0   0 2018-11-26 00:00:27
 0  0         9076      3047912        22776       739180    0    0     0 113635 2772 1948   1   1  98   0   0 2018-11-26 00:00:30
 1  0         9076      3047928        22776       739184    0    0     0 98304 1934 1523   1   1  98   0   0 2018-11-26 00:00:33
 0  0         9076      3047904        22784       739184    0    0     0 125419 8135 2129   1   2  95   2   0 2018-11-26 00:00:36
 0  0         9076      3047944        22784       739192    0    0     0 112469 2490 1918   1   1  98   0   0 2018-11-26 00:00:39
 0  0         9076      3047692        22792       739192    0    0     0 99807 2628 1792   1   1  98   0   0 2018-11-26 00:00:42
